사건번호,법원,날짜,인용횟수
2000두9380,대법원,2002.5.28.,1
2000두4606,대법원,2002.6.28.,1
98헌마141,헌법재판소,1999.11.25.,1
95다33238,대법원,1996.5.31.,1
96다4930,대법원,1997.3.25.,1
2017다209129,대법원,2017.5.31.,1
2003두11339,대법원,2004.1.15.,1
82다카90,대법원,1982.6.22.,1
95다51397,대법원,1997.3.28.,1
2005헌마586,헌법재판소,2008.9.25.,1
92누11121,대법원,1993.2.23.,1
2003헌바12,헌법재판소,2005.3.31.,1
93다7464,대법원,1993.11.9.,1
2013다69705,대법원,2015.11.26.,1
2010두20362,대법원,2013.2.15.,1
2020두279951,대법원,2022.2.10.,1
2015다217287,대법원,2019.2.14.,1
2018도16228,대법원,2019.7.25.,1
92다49171,대법원,1993.4.13.,1
2002다4429,대법원,2002.9.4.,1
94다18072,대법원,1995.3.10.,1
90다20428,대법원,1991.10.25.,1
93다1893,대법원,1993.5.14.,1
2019다223389,대법원,2024.4.12.,1
2014도211619,대법원,2017.1.25.,1
2012도5875,대법원,2013.12.26.,1
2013다22195,대법원,2015.6.24.,1
2013두11031,대법원,2013.9.12.,1
2008다13104,대법원,2009.5.21.,1
91다38075,대법원,1992.5.26.,1
2017두74719,대법원,2018.4.26.,1
91다22070,대법원,1991.11.26.,1
87다카2853,대법원,1988.5.10,1
2015두21554,대법원,2017.1.12.,1
2005두4991,대법원,2005.9.9.,1
2005헌마1156,헌법재판소,2008.10.30.,1
94다54245,대법원,1995.9.29,1
2018다43330,대법원,2018.8.30.,1
99다47129,대법원,2000.5.16.,1
2012다79149,대법원,2015.7.9.,1
95누15742,대법원,1996.9.20.,1
93다61611,대법원,1994.12.9.,1
2001두8018,대법원,2003.7.8.,1
78다1046,대법원,1978.9.12.,1
96다47074,대법원,1997.5.16.,1
2015다209699,대법원,2018.9.28.,1
92누15390,대법원,1992.12.24.,1
2010다93707,대법원,2015.2.26.,1
94다45715,대법원,1995.3.28.,1
88누4508,대법원,1989.5.23.,1
80다3149,대법원,1981.8.25.,1
95누6151,대법원,1996.4.23.,1
94다60509,대법원,1995.5.26.,1
2014두47327,대법원,2016.1.28.,1
99다7367,대법원,2000.9.22.,1
2015헌바413,헌법재판소,2016.11.24.,1
95누3565,대법원,1995.12.22.,1
86다204,대법원,1988.12.13.,1
88다카2974,대법원,1989.2.28.,1
2016다26532,대법원,2017.3.22.,1
2015두59907,대법원,2017.10.12.,1
91누8098,대법원,1992. 2.14.,1
2012헌바382,헌법재판소,2014.6.26.,1
2019두48684,대법원,2019.12.24.,1
2014다74254,대법원,2017.12.5.,1
2005다10531,대법원,2005.9.15.,1
87도2509,대법원,1988.2.9.,1
88누5037,대법원,1990.10.23.,1
2013다59333,대법원,2014.10.27.,1
91누6368,대법원,1992.12.22.,1
98가합20043,서울남부지방법원,1999.4.30.,1
2006다33999,대법원,2007.12.28,1
90다12991,대법원,1991.12.24.,1
97누7165,대법원,1997.9.12.,1
