사건번호,법원,게시글ID
2024다211908,대법원,
2024도1309,대법원,
2024도4055,대법원,
2024두32973,대법원,
90다카19647,대법원,903374
90다카25277,대법원,2237555
91다30828,대법원,403730
91다45165,대법원,2238175
92누404,대법원,403748
92다24509,대법원,2238644
93누5796,대법원,2238155
93다11463,대법원,2238133
93다17843,대법원,2237695
93다26168,대법원,2236951
93다47677,대법원,2237499
94다55934,대법원,2281561
95누15728,대법원,2237571
96다24699,대법원,509325
96도732,대법원,2236842
98다34393,대법원,2382890
98다49357,대법원,403683
99두8657,대법원,2236909
